"","2009","2010","2011","2012","2013"
"173",781275.070059549,-9267218.06858624,-10126881.1726908,-12954698.4653461,-10491037.3573484
"174",4930952.35770893,-10343261.0909995,-16267011.5571423,-25895179.4983544,-32993028.0510771
"175",-3368402.21758984,-11189791.6457005,-8333147.54194651,-14258033.5668405,-14053129.0745971
"176",-3368402.21758984,-9236109.00405068,-18145474.1139847,-31385789.744846,-33072852.9760467
"177",-3368402.21758984,-7630826.5363422,-20678369.6223343,-32947547.5564594,-37738403.0010476
"178",4930952.35770893,-12170264.6219479,-15131857.7088294,-27033953.9716644,-32534753.3668474
"179",781275.070059549,-10219180.6559131,-17230244.7645552,-29458109.642607,-32990983.170674
"180",781275.070059549,-10411836.1255627,-18978425.32075,-34380921.6286663,-34993966.3299894
"181",4930952.35770893,-10918871.3252208,-18606469.0043968,-32411557.8509944,-34931142.1157254
"182",781275.070059549,-8448373.19898371,-17613681.9623836,-27844364.5426831,-24386385.9764176
"183",781275.070059549,-9188056.28602935,-16718480.6326719,-26324304.7296907,-28236674.4755564
"184",4930952.35770893,-11742271.5755415,-6485935.25709631,-8539214.42202172,-3510588.71903514
"185",4930952.35770893,-10094336.7056143,-18497285.778562,-31984882.8522952,-26512988.2072502
"186",781275.070059549,-10283770.1104821,-12162370.4203629,-18058320.6962924,-26566892.1124264
"187",781275.070059549,-9544639.25418054,-15065223.1982461,-24404808.1366698,-21684265.0982029
"188",781275.070059549,-10618198.8361354,-10096934.3450444,-15021512.3133045,-17171901.5284459
"189",4930952.35770893,-10938054.5502319,-12269550.2282746,-18599101.3308866,-23371250.1340613
"190",4930952.35770893,-7718121.02660381,-14848584.8275611,-17672541.015651,-25846045.3008503
"191",4930952.35770893,-8112252.94780133,-20655770.768351,-30568020.4361308,-36115645.1508275
"192",781275.070059549,-11287254.6563516,-14139779.3464231,-25130486.2085134,-26095356.6101857
"193",4930952.35770893,-11063491.221366,-14323140.7120279,-24053287.9763445,-23814653.7386321
"194",-3368402.21758984,-8879701.41522479,-11540508.6559085,-16401016.4226152,-16282090.1334359
"195",-3368402.21758984,-10486065.5908111,-12245581.6464388,-20628999.2988539,-24732957.5436761
"196",4930952.35770893,-10100860.6756937,-18592284.5808351,-30922172.0582313,-33055906.4570928
"197",4930952.35770893,-10911049.8421149,-15525842.3467057,-26473047.8921444,-24357436.1816217
"198",781275.070059549,-10699847.9259708,-7855283.79417917,-10054807.3007846,-15101058.3002509
"199",781275.070059549,-9125632.79834406,-20410587.4033952,-34791109.9167271,-37885380.7087519
"200",-3368402.21758984,-10140582.1730972,-16898691.5968062,-30596794.3714409,-31016842.0046333
"201",781275.070059549,-12624755.3094106,-6479815.99698568,-11089783.0447627,-11986945.9207932
"202",781275.070059549,-8814070.67211644,-16303173.7563109,-25695568.3640226,-26080867.2491863
"203",781275.070059549,-8494289.44668525,-24050751.4416303,-41723872.5568089,-39754317.1601783
"204",4930952.35770893,-11726149.4269269,-13014725.9492663,-21451344.3269833,-27848671.0987303
"205",-3368402.21758984,-10587544.6646819,-15766744.558754,-29751920.1620574,-25424318.7725586
"206",4930952.35770893,-11463627.8215528,-13424343.1122091,-22879105.3101394,-22535207.3198157
"207",781275.070059549,-11827100.5426747,-11710722.1125699,-20163049.9672811,-28336672.6244652
"208",781275.070059549,-9776230.65549164,-11699484.5591091,-17417557.8607545,-15257142.9227033
"209",781275.070059549,-13300930.1495523,-13912259.8518521,-28059715.0145462,-33554000.4494303
"210",781275.070059549,-11738142.3760387,-8717308.73809688,-14997303.5426398,-12021654.8004911
"211",781275.070059549,-7424288.95644838,-16520952.8208945,-22721184.5049127,-22312381.17078
"212",781275.070059549,-9743891.31146823,-19180735.6608146,-33550749.0336069,-31070185.9174773
"213",4930952.35770893,-12307640.8454009,-18474687.7232804,-35250990.4622004,-38381089.1756804
"214",781275.070059549,-8666875.46683335,-14981415.9358871,-21381572.259553,-26745123.071578
"215",781275.070059549,-9993183.5335678,-12124222.8691925,-18755323.6726937,-16772748.1546969
"216",4930952.35770893,-8188332.28943205,-21437664.1419329,-34085010.5348254,-30455957.0089271
"217",781275.070059549,-10910993.587351,-16399051.1563168,-28935545.9909974,-33667025.2205741
"218",781275.070059549,-12593301.3280534,-9081199.39349435,-17117585.8028196,-18158044.9405687
"219",-3368402.21758984,-10068145.0166483,-9276125.62045134,-14466966.6489987,-11926020.605967
"220",781275.070059549,-11229045.5123995,-8866627.28248943,-13163211.8291436,-15200992.0844192
"221",4930952.35770893,-10180328.3898845,-12054954.2161738,-16637532.8946281,-20998236.7900157
"222",781275.070059549,-11864724.8500001,-14922570.5787257,-28264194.434084,-29473738.9991007
"223",781275.070059549,-11460446.5702589,-15674085.7100369,-29605457.3323666,-23680922.0345198
"224",-3368402.21758984,-13356855.6600524,-7935179.86088576,-17957889.3118694,-15445507.2586538
"225",781275.070059549,-9089075.91305025,-15963853.9233719,-25287642.6585428,-22525606.5258697
"226",781275.070059549,-7951234.60832144,-19954035.8386126,-31964597.2661177,-27590570.826622
"227",781275.070059549,-9094182.02593103,-16663899.0079867,-25715640.8491291,-32243951.2696288
"228",4930952.35770893,-11093318.4294514,-16377315.2991432,-28038596.4011972,-27963041.6197468
"229",4930952.35770893,-12377832.7177544,-14351860.52159,-26402136.8637578,-25489249.9589437
"230",-3368402.21758984,-8820698.19254723,-10291641.2266826,-13631311.0079034,-12076035.2355813
"231",-3368402.21758984,-8083578.21140062,-23484208.6971828,-39873352.9731062,-47803443.8564813
"232",781275.070059549,-10987075.6869282,-18041628.6077809,-33821068.5365543,-29862874.8108397
"233",781275.070059549,-11143951.9371734,-12920635.648889,-23035471.9213335,-18999182.6840125
"234",781275.070059549,-9967566.00339702,-12756192.4000622,-19928821.0424908,-19981923.9101689
"235",-3368402.21758984,-10908793.993924,-10630754.0758019,-18868519.8637509,-17657645.4721075
"236",4930952.35770893,-10884178.8351201,-12688803.7020498,-20039696.7525623,-21160910.7276481
"237",4930952.35770893,-11275717.9765366,-14003230.5292165,-23284991.91413,-24277844.5674787
"238",4930952.35770893,-8790196.86831598,-13547231.4103521,-18010988.6199855,-14774969.0115821
"239",781275.070059549,-10354037.0803183,-12605682.9748666,-19578923.8759088,-23553764.361631
"240",781275.070059549,-12059285.2301963,-13194988.5005875,-24343713.6837517,-28738236.2611798
"241",781275.070059549,-10853696.6317775,-21137108.2828755,-38600642.2310692,-46965699.2293559
"242",-3368402.21758984,-10111348.3151861,-14084084.2148107,-23950381.5317841,-28007934.894219
"243",781275.070059549,-10673919.3988126,-15998697.6161408,-28695959.2718927,-28097790.2822766
"244",781275.070059549,-10144558.6930859,-11230320.0089493,-16285949.3922395,-22713142.987141
"245",781275.070059549,-9202217.21131926,-18118441.0005809,-29607944.8740462,-29274619.3177338
"246",781275.070059549,-11272933.9617376,-19785556.6680071,-37476713.0478479,-40461625.1015959
"247",781275.070059549,-9506076.22397147,-15752086.4429283,-25089513.2426013,-29901799.5955583
"248",4930952.35770893,-11664168.0040216,-19101662.153123,-34887959.2019659,-36083064.7997847
"249",781275.070059549,-7463015.94349667,-19815395.9107521,-30772230.1773677,-28211449.4727934
"250",781275.070059549,-9499459.31788558,-13282680.0199397,-20387729.9664952,-19048871.1523809
"251",-3368402.21758984,-8357598.37074114,-16542671.6292943,-27542068.2299657,-21306217.7964289
"252",781275.070059549,-10505943.5358852,-16371443.8271869,-27836408.3101184,-33250031.2279182
"253",-3368402.21758984,-7511869.1341097,-15098853.2611143,-22223238.8700078,-17222062.16492
"254",781275.070059549,-10886080.7551399,-8758910.45092512,-12535504.3824655,-16415145.6461335
"255",781275.070059549,-10144628.0914661,-14885623.4974802,-23612996.7673215,-30698143.4833554
"256",-3368402.21758984,-10237394.9945507,-9736936.2734233,-15933354.0270609,-14183490.2623919
"257",781275.070059549,-11875055.4999786,-10079006.7744253,-17685744.9532504,-18657124.1352064
"258",781275.070059549,-10000574.7143569,-14788101.1460137,-24078770.5387842,-26074323.5294521
"259",781275.070059549,-10722852.2251761,-11746390.5850459,-19438718.906224,-16898329.8062045
"260",4930952.35770893,-9425515.12899515,-20027987.4139043,-32722365.4471448,-35618298.4185256
"261",781275.070059549,-11764418.793605,-8254100.27876858,-12739586.8169155,-20767417.42954
"262",781275.070059549,-8522016.18635185,-18072378.4388229,-28752195.0302726,-27179628.9906795
"263",781275.070059549,-9181014.27691432,-18481986.5848024,-31737634.1666063,-21531026.2786227
"264",4930952.35770893,-10372700.151763,-11799328.7745148,-16218958.6171638,-22552214.7256858
"265",-3368402.21758984,-9047265.37038346,-11491022.5053862,-16941263.0912442,-16864401.2973856
"266",781275.070059549,-10420248.1844503,-15295138.5811773,-26104045.1929192,-28430515.6731682
"267",-3368402.21758984,-12063919.8391836,-10465541.437772,-20167941.3203995,-24203851.9649927
"268",781275.070059549,-11565638.6609389,-14479940.2230175,-26310830.2950029,-30431987.2338866
"269",781275.070059549,-11803988.9351312,-6366977.34575059,-8368868.52389948,-14747353.6602903
"270",-3368402.21758984,-11164525.3001124,-11706251.9011984,-21090348.7139456,-25428820.6728084
"271",4930952.35770893,-12298181.7024021,-10815587.7392816,-19292940.2905973,-14561134.5778823
"272",781275.070059549,-10347793.2872582,-20573727.9420011,-37742726.8655499,-35750476.8813047
"273",4930952.35770893,-13075643.2614584,-12341371.3482758,-23659098.7958671,-25201212.5550132
"274",781275.070059549,-10546914.1158515,-14103854.365813,-24341021.1065033,-19954012.7648146
"275",781275.070059549,-10825757.0427235,-5064721.41973767,-4543818.5380176,-4194675.78498873
"276",-3368402.21758984,-9922078.5112184,-15022341.6874035,-25782193.1814604,-28751768.1015653
"277",781275.070059549,-8289734.30177347,-18062192.6806274,-28629896.875066,-25118182.8660605
"278",4930952.35770893,-9559454.38649914,-8426137.31144838,-7984172.91923635,-9326327.85378514
"279",781275.070059549,-10086213.672842,-8560248.08557023,-11282806.5013032,-10250124.3645352
"280",781275.070059549,-9707537.80273393,-13497886.429874,-19626388.7792785,-26559670.8592035
"281",781275.070059549,-11730725.8440105,-12431445.9919114,-23486088.4414955,-18501672.5056554
"282",4930952.35770893,-11708228.5195272,-13298604.4070713,-23127787.4171284,-19639744.5033731
"283",-3368402.21758984,-11075484.6511572,-12889759.9617931,-23716805.9957689,-26501278.7400215
"284",781275.070059549,-8440030.93468429,-19635175.9980561,-33462267.7887893,-22622750.5719452
"285",781275.070059549,-11949947.2964874,-11383791.8752122,-20418100.1499627,-23535021.6175699
"286",4930952.35770893,-9104127.10362018,-15890387.4408015,-23181496.8825646,-24501743.6095037
"287",4930952.35770893,-7745228.47872015,-18783755.8316971,-27106602.5953101,-28769150.6703218
"288",4930952.35770893,-13078526.4074171,-13382459.5004833,-24822704.1154059,-30932390.9814749
"289",-3368402.21758984,-12219484.8704234,-12073545.0138129,-24810252.6123872,-25035618.3776072
"290",-3368402.21758984,-9066265.85644337,-19513592.7682384,-33560510.0464861,-39066699.9868732
"291",-3368402.21758984,-8587846.47137767,-13536971.5046571,-19549546.6552757,-24621968.993561
"292",-3368402.21758984,-9980266.11000316,-9671646.99940588,-14831381.6268107,-14357154.4829628
"293",-3368402.21758984,-7128820.14099465,-16149536.8781937,-23256443.5766039,-23539210.2981448
"294",781275.070059549,-8995215.53221862,-10696080.2286976,-12931914.899152,-14781127.3892624
"295",-3368402.21758984,-8358582.98445119,-15872941.5758822,-24208058.6622284,-30929987.5182018
"296",781275.070059549,-12433981.8969607,-13398562.7065431,-25888827.1479583,-25290743.2009569
"297",-3368402.21758984,-13280058.6530831,-5057799.27552546,-10492140.8621801,-16826063.4830324
"298",781275.070059549,-10580470.9638945,-12714796.8929014,-21533788.9014089,-14748583.2806174
"299",781275.070059549,-12274025.8385701,-12206824.4547617,-24033511.3725672,-18474646.477232
